البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
1	10002795100840100000	%بوفيدون بخاخ 10					0					2000	
2	6674452236962	/shاعشاب الحضر للرشاقة				32	0	6		3190	3280	4000	19142
3	باركود تلقائي8058664081226	+14M chicco 266ml قدح طفل					0					15000	
4	O3-2021	03 حزام معصم 2021					0					8000	
5	O3-2068	03 كف رياضي حمايه قصوى 2068					0					13500	
6	O3-2071	03 كف رياضي قصير 2071					0					8500	
7	O3-2022	03 كيتر سحب 2022					0					6750	
8	O3-2010	03 كيتر معصم يد مدعم 2010					0					4500	
9	O3-2058	03 مسند كف دعامه اضافيه					0					10000	
10	10002795100840100000	1,2,3 SYRUP HIKMA /sh		1,2,3, SYRUP		51	0	6	شراب	2808	2744	4000	16847
11	10002795100840100000	1+1مرطب شفة بيزلين مشكل				6	0	3		3550	3850	5000	10650
12	1001607748	10 x 10 لصقة عمليات 25 لصقة					25					500	
13	6938056564235	10*30 az لصقات عمليات ضد الماء				100	0	71		278	190	1000	19727
14	6915879650475	10x10 az لصقات عمليات ضد الماء/sh	az	az	باكيت	1	25	14	لصقة	186	196	500	2610
15	6915879650482	10x20 az لصقات عمليات ضد الماء/sh	az	az	باكيت	4	25	111	لصقة	310	327	750	34405
16	6915879650499	10x30 az لصقات عمليات ضد الماء/sh	az	az	باكيت	4	25	111	لصقة	468	458	1000	51970
17	6221000000003	123 syrup hikma / sh				132	0	8		2744	2743	3750	21951
18	1001391	123 TAB ازرق					2					2000	
19	8809447251363	145 repair cream/sh				12	0	2		18538	18360	30000	37075
20	6291174575096	200 شامبو قمل				10	0			1500	1500	3000	
21	6928568962261	200ml كلاص اطفال /sh				3	0			4000	4000	5000	
22	O3-2012	2012 كيتر ركبة قصير مدعم					0					9000	
23	O3-2016	2016 كيتر ركبة مدعم					0					9000	
24	O3-2024	2024 حمالة كسور كبار					0					13000	
25	O3-2069	2069 كف رياضي طويل					0					9000	
26	8809447256115	345 RELIEF CREAM MIST				6	0	5		19627	20965	20000	98133
27	8935001723820	3D MENTOS علك				90	0	17		219	219	500	3723
28	4902430918251	3d white luxe oral b toothpaste				2	0			1459	1459	3000	
29	10002795100840100000	3m micropore+TRANSPORE plaster / sh			قطعة	2	24	59	باكيت	677	625	2000	39950
30	4054596492721	3m transpore ابيض / sh				1	24	23		700	700	1000	16100
31		3M بلاستر				2	24	45		691	692	1500	31113
32	100707387023683	3M لصقة عمليات تجميل الانف					0					2500	
33	382903204977	4 mm نيدل قلم			باكيت	2	100	182	قطعة	92	90	250	16704
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
34	6281053213324	500 ml nunu شامبو نونو للاطفال					0	1		2430	2430	4000	2430
35	4260393340749	5cc med سرنجه / sh				24	100	2445		55	61	125	135011
36	10002007	5d white لصقة تبييض اسنان /sh				5	0			1874	1675	6000	
37	733739001054	5-HTP 100MG NOW				2	0	2		18800	18800	25000	37600
38	382903207367	6 mm نيدل قلم				5	100	516		752	150	250	387967
39		787907092863					0		شراب			1500	
40	10002795100840100000	9D white smilique				2	0	1		3500	3500	7000	3500
41	3760245852013	A 313 CREAM pharma developpement /sh				49	0	3		19596	20100	24000	58788
42	8699089065172	A D drop					0					4000	
43	8699570570062	A ferin syrup					0					4000	
44	8699570090164	a ferin tab			باكيت		2			1925	1925	3000	
45	3760245850712	A313 crem / sh				11	0	1		20865	20865	27000	20865
46	3760245852075	A313 CREM plus				2	0			19710	19800	23000	
47	8906008300222	ABDOMINAL BELT FLAMINGO / SH					0			9000	9000	14000	
48	8901077116118	ABDYL-H SYR					0					1500	
49	8680683590023	Abilify syr					0					20000	
50	8437022041742	AB-INTIMUS 7VAG TAB				2	0			16668	16668	20750	
51	8437022041735	AB-KOLICARE 8ml vial				2	0	1		13295	13295	15500	13295
52	7350058790013	absolut torr مزيل تعرق اسبوعي /sh				7	0	5		13058	13190	17000	65289
53	6253770000044	acacime 100mg/5ml acai				2	0			1520	1520	5750	
54	47469055080	Acai Berry 60 capsules					0					26500	
55	6253770000020	acamoxil syr				21	0	1		1650	1650	2500	1650
56	4015630066919	Accu-check instant شريط&					0					15000	
57	4015630982141	Accu-check Performa &&				1	0			12000	12000	18000	
58	4015630981991	Accu-check Performa شرائح مفردة				8	0			9856	9750	13000	
59	4015630018260	accu-check softclix واخز سكر				1	0	4		2300	2300	2500	9200
60	4015630064007	accu-chek active اشرطة سكر /sh		accu-chek		491	0	50	باكيت	13600	14715	12000	679984
61	4015630064281	accu-chek Active جهاز فحص سكر /sh				20	0	4		26757	24796	30000	107029
62	4015630064106	ACCU-CHEK AKTIVE شرائط سكر اخضر					0					13000	
63	1234567890135	accu-chek blood lancets				1	0	1		2300	2300	3500	2300
64	4015630068272	accu-chek instant strips				24	0	1		19430	17250	24000	19430
65	4015630084845	accu-chek instant جهاز				4	0			22512	22512	25000	
66	1001241	Accu-Chek Lancets					0	1		3000	3000	3000	3000
67	4015630981946	ACCU-CHEK PERFORMA شرائط سكر احمر					2					14000	
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
68	8683229235730	acd3 drop avokids				1	0	1		4300	4300	7000	4300
69	5060149319802	Aceclofenac 100mg film coated tab Accord					6					4000	
70	6291100082919	Aceflam 100mg tab julphar					0					5000	
71		ACEPROTIN 50 MG TAB		CAPTOPRIL	باكيت	1	2	2	شريط	1385	1317	1500	2769
72	100172	aceprotin 50 mg tab قبرصي					2			1409	1409	1500	
73	6251651000220	acetamol 250mg syr					0			1782	1782	2500	
74	6251651002064	acetamol advanced sama alfayhaa/sh			شريط	0	2	1	باكيت	660	660	1000	660
75	6251651001982	acetamol cold and flu			باكيت	5	2	10	شريط	825	825	2000	8250
76	6251651001869	ACETAMOL DAY سما الفيحاء				1	2	2		868	868	1500	1737
77	6251651001623	acetamol extra tab				0	2	1		726	726	1500	726
78	6251651001937	acetamol sinus/sh				4	2	7		849	848	1500	5940
79	609788968085	acetyl L- carnitine 1000mg 60cap AMS					0					35000	
80	604776737810	Acetyl L-Carnitine 1000 AMS /sh				6	0			34757	34757	41000	
81	89023999936751	ACHEE COLD FLU SYRUP BRAWN /sh		ACHEE		129	0	3	شراب	1823	1880	4000	5469
82	89023999875135	ACHEE sinus brawn / sh		PARACETAMOL	باكيت	4	2	9	شريط	971	975	1500	8740
83		achee sinus tab			باكيت		2		شريط	1150	1150	2000	
84	89023990052627	Achee TAB brawn/sh				10	2	20		1124	1144	1500	22474
85	5600360013990	aciclosina 50mg cream/sh				7	0			4699	4715	6000	
86	5055565742303	ACICLOVIR 200MG TAB ACCORD					5			1170	1170	1750	
87	5012617004260	ACICLOVIR 400MG TAB ACTAVIS					4					6000	
88	5298003860102	ACICLOVIR 5% CREAM				4	0			2301	2301	4000	
89	5055565788936	ACICLOVIR 800MG TAB ACCORD		ACICLOVIR	باكيت	0	7	1	شريط	3367	3354	4500	3367
90	5012617004277	ACICLOVIR 800MG TAB ACTAVIS				1	7	7		2922	2922	4000	20453
91	5060464502811	aciclovir flamingo 200mg /sh				2	2	4		3852	3852	5000	15410
92	5055565789070	Aciclovir tab 200mg/SH			باكيت	9	5	44	شريط	1321	1317	1750	58107
93	5055565788806	Aciclovir tab 400mg/SH			باكيت	6	4	23	شريط	4719	5113	6000	108540
94	47469009700	Acidophilus Probiotic Digestive Health Natrol					0					27000	
95	5060742393155	Acidophilus Probiotic tab NEWGATE					0					15000	
96	01189041833006141722052410AES096	Aciginal-ES 2 x 6 VAGINAL TABLET					0					13000	
97	6251875001638	Acilox plus susp pioneer /sh				82	0	21		1870	1919	3000	39267
98	6251875001621	Acilox plus TAB 50tab pioneer /sh			باكيت	9	5	43	شريط	405	380	1000	17427
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
99	8904183350032	Acirax aciclovir eye ointment					0					2000	
100	3760095254616	ACM AZEANE AZELAIC ACID/SH				33	0	20		18092	24500	29000	361831
101	3760095253633	ACM CREAM SPF 100+					0					27000	
102	3760095254579	ACM deodrant ANTI- TRANSPIRANT INTENSIF 72H/SH				22	0	1	باكيت	13403	14910	20000	13403
103	3760095254562	ACM deodrant ANTI-TRANSPIRANT APAISANT 48H/SH				20	0		باكيت	11833	11923	19000	
104	3760095254555	ACM deodrant ANTI-TRANSPIRANT FRAICHEUR 48H/SH				26	0		باكيت	12447	14910	20000	
105	3760095254548	ACM deodrant naturel 24H /SH				14	0		باكيت	11433	14500	17500	
106	3760095251929	acm depiwhite body milk 500ml				1	0			29750	29750	38000	
107	3760095250267	ACM depiwhite body milk/SH				37	0	2	باكيت	23492	26000	30000	46984
108	3760095254272	ACM depiwhite cleansing foam/sh				40	0	22	باكيت	17469	23500	27000	384319
109	3760095250441	ACM depiwhite cream ADVANCED40ML/SH				79	0	16	عصارة	22012	24900	33000	352196
110	3760095251899	ACM DEPIWHITE M SPF 50/sh				7	0			22244	22000	29000	
