رقم القيد	تاريخ القيد	نوع القيد	اسم العميل	محافظة الوثيقة (عربي)	نوع الوثيقة	رقم الوثيقة	تاريخ الوثيقة	حالة الوثيقة	ملاحظة عامة	ملاحظة خاصة	معرف الفرع	الفرع (إنجليزي)	العملية المستودعية en	العملية المرجعية en	نوع فئة العملية	كود المادة	الاسم التجاري	نوع المادة	فئة المادة	العلامة التجارية	باركود الوحدة	باركود الوحدة الافتراضية	معرف الوحدة	الوحدة	كود الوحدة	معرف الوحدة الأساسية	الوحدة الأساسية	كود الوحدة الأساسية	معرف المستودع	المستودع	كود المستودع	معرف منطقة التخزين	منطقة التخزين	كود منطقة التخزين	معرف مركز التكلفة	مركز التكلفة	الكمية المدخلة	الكمية الأساسية المدخلة	الكمية المجانية	الكمية الأساسية المجانية	الكمية الإجمالية	الكمية الأساسية الإجمالية	معامل التحويل (عند الإنشاء)	نوع التحويل (عند الإنشاء)	معامل التحويل الحالي	نوع التحويل الحالي	الأساسية المعاد حسابها (بالمعامل الحالي)	مطابقة الأساسية للمعدل الحالي	سعر الوحدة	المبلغ الإجمالي	الكلفة قبل الادخال	الكلفة بعد الادخال	مصدر الكلفة	قيمة كلفة الكمية بعد الادخال	قيمة كلفة الكمية المجانية بعد الادخال	رقم الوجبة	تاريخ الصلاحية	المضاعف	الوصف	لون الصف	لون النص	النوع
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000006	SEPTOCLEAR EYE DROPS 0.1%/0.3% 10ML	storable	Drugs - الادوية	Cooper Greece	2800766801020	2800766801020	7	One Drops (Bottle)	DROPS_(BOTTLE)	7	One Drops (Bottle)	DROPS_(BOTTLE)	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-3	-3	0	0	-3	-3	1	reference	1	reference	3	TRUE	4389	-13167	0	3291.75	inventory_movements	9875.25	0	b	2028-03-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000006	SEPTOCLEAR EYE DROPS 0.1%/0.3% 10ML	storable	Drugs - الادوية	Cooper Greece	2800766801020	2800766801020	7	One Drops (Bottle)	DROPS_(BOTTLE)	7	One Drops (Bottle)	DROPS_(BOTTLE)	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-2	-2	0	0	-2	-2	1	reference	1	reference	2	TRUE	4389	-8778	0	2194.5	inventory_movements	4389	0	b	2028-03-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000008	LITHIMOLE EYE DROPS 0.5% 5ML	storable	Drugs - الادوية	Cooper Greece	2801985202018	2801985202018	7	One Drops (Bottle)	DROPS_(BOTTLE)	7	One Drops (Bottle)	DROPS_(BOTTLE)	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-2	-2	0	0	-2	-2	1	reference	1	reference	2	TRUE	4959	-9918	0	2479.5	inventory_movements	4959	0	b	2027-12-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000010	DEXATOB EYE DROPS 0.3%/0.1% 5ML	storable	Drugs - الادوية	Cooper Greece			7	One Drops (Bottle)	DROPS_(BOTTLE)	7	One Drops (Bottle)	DROPS_(BOTTLE)	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-5	-5	0	0	-5	-5	1	reference	1	reference	5	TRUE	6254	-31270	0	3474.444444	inventory_movements	17372.22222	0	a	2028-02-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000011	ADELONE EYE DROP 1% 5ML	storable	Drugs - الادوية	Cooper Greece	2802105302014		7	One Drops (Bottle)	DROPS_(BOTTLE)	7	One Drops (Bottle)	DROPS_(BOTTLE)	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-1	-1	0	0	-1	-1	1	reference	1	reference	1	TRUE	3295	-3295	0	1647.5	inventory_movements	1647.5	0	b	2027-11-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000020	DORZOPTIC PLUS EYE DROP 2%/0.5% 5ML	storable	Drugs - الادوية	Cooper Greece	2802839101013	2802839101013	7	One Drops (Bottle)	DROPS_(BOTTLE)	7	One Drops (Bottle)	DROPS_(BOTTLE)	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-1	-1	0	0	-1	-1	1	reference	1	reference	1	TRUE	11250	-11250	0	5625	inventory_movements	5625	0	b	2026-10-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000021	XALAPROST EYE DROPS 0.005% 2.5ML	storable	Drugs - الادوية	Cooper Greece			7	One Drops (Bottle)	DROPS_(BOTTLE)	7	One Drops (Bottle)	DROPS_(BOTTLE)	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-2	-2	0	0	-2	-2	1	reference	1	reference	2	TRUE	11248	-22496	0	5624	inventory_movements	11248	0	a	2028-06-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000036	PLAVIX 75MG 28TAB	storable	Drugs - الادوية	Sanofi France		3582910074236	18	One Strip	STRIP	18	One Strip	STRIP	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-19	-19	0	0	-19	-19	1	reference	1	reference	19	TRUE	9408	-178752	0	7150.08	inventory_movements	135851.52	0	b	2028-08-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000041	COVERSYL 5MG 30TAB	storable	Drugs - الادوية	Servier	3664898116655	3664898116655	65	One Jar	101	65	One Jar	101	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-1	-1	0	0	-1	-1	1	reference	1	reference	1	TRUE	7461	-7461	0	7461	inventory_movements	7461	0	b	2028-08-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000067	JOHNSONS BABY SOFT LOTION 200ML	storable	مواد عامة	Johnson & Johnson	3574669908030	3574669908030	4	One Bottle	BOTTLE	4	One Bottle	BOTTLE	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-1	-1	0	0	-1	-1	1	reference	1	reference	1	TRUE	1900	-1900	0	950	inventory_movements	950	0	2115fv	2028-07-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000068	ULTRA DOUX MYTHIC OLIVE SHAMPOO 400ML	storable	Cosmetics	garnier	3610340027130	3610340027130	4	One Bottle	BOTTLE	4	One Bottle	BOTTLE	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-1	-1	0	0	-1	-1	1	reference	1	reference	1	TRUE	3615	-3615	0	1807.5	inventory_movements	1807.5	0	235	2028-10-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000073	LACALUT WHITE TOOTHPASTE 75ML	storable	مواد عامة	Dr.Theiss Naturwaren Germany	4010439201387	4010439201387	21	One Tube	TUBE	21	One Tube	TUBE	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-4	-4	0	0	-4	-4	1	reference	1	reference	4	TRUE	7175	-28700	0	4783.333333	inventory_movements	19133.33333	0	25415	2028-12-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000073	LACALUT WHITE TOOTHPASTE 75ML	storable	مواد عامة	Dr.Theiss Naturwaren Germany	4010439201387	4010439201387	21	One Tube	TUBE	21	One Tube	TUBE	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-10	-10	0	0	-10	-10	1	reference	1	reference	10	TRUE	7175	-71750	0	3587.5	inventory_movements	35875	0	a	2028-12-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000075	ACCU-CHEK ACTIVE	storable	مواد عامة	Roche Germany	4015630064281		6	One Device	DEVICE	6	One Device	DEVICE	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-3	-3	0	0	-3	-3	1	reference	1	reference	3	TRUE	24796	-74388	0	12398	inventory_movements	37194	0	31212339	2027-02-04	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000085	SEBA MED RELIEF SHAMPOO 5% UREA	storable	Cosmetics	Seba Med Germany	4103040006868	4103040006868	4	One Bottle	BOTTLE	4	One Bottle	BOTTLE	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-1	-1	0	0	-1	-1	1	reference	1	reference	1	TRUE	15800	-15800	0	7900	inventory_movements	7900	0	y567	2028-04-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000087	SEBA MED ANTI-AGEING Q10 EYE CREAM 15ML	storable	Cosmetics	Seba Med Germany	4103040013040	4103040013040	21	One Tube	TUBE	21	One Tube	TUBE	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-2	-2	0	0	-2	-2	1	reference	1	reference	2	TRUE	12750	-25500	0	6375	inventory_movements	12750	0	u457	2027-08-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000088	SEBA MED LIP DEFENSE STRAWBERRY	storable	مواد عامة	Seba Med Germany	4103040017116		13	One Piece	PIECE	13	One Piece	PIECE	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-1	-1	0	0	-1	-1	1	reference	1	reference	1	TRUE	4100	-4100	0	4100	inventory_movements	4100	0	4j05	2027-08-28	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000089	SEBA MED LIP DEFENSE CHERRY	storable	مواد عامة	Seba Med Germany	4103040017130	4103040017130	70	one stick	1256458	70	one stick	1256458	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-1	-1	0	0	-1	-1	1	reference	1	reference	1	TRUE	4100	-4100	0	2050	inventory_movements	2050	0	5j01	2028-03-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000094	SEBA MED GENTLE CLEANSING FOAM 150ML	storable	Cosmetics	Seba Med Germany	4103040036629	4103040036629	4	One Bottle	BOTTLE	4	One Bottle	BOTTLE	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-2	-2	0	0	-2	-2	1	reference	1	reference	2	TRUE	18500	-37000	0	12333.33333	inventory_movements	24666.66667	0	t4628	2028-02-27	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000096	SEBA MED CLEANSING BAR FOR SENSITIVE SKIN 100G	storable	Cosmetics	Seba Med Germany	4103040111241	4103040111241	16	One Soap Bar	SOAP_BAR	16	One Soap Bar	SOAP_BAR	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-1	-1	0	0	-1	-1	1	reference	1	reference	1	TRUE	5045	-5045	0	2522.5	inventory_movements	2522.5	0	654	2028-06-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000096	SEBA MED CLEANSING BAR FOR SENSITIVE SKIN 100G	storable	Cosmetics	Seba Med Germany	4103040111241	4103040111241	16	One Soap Bar	SOAP_BAR	16	One Soap Bar	SOAP_BAR	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-1	-1	0	0	-1	-1	1	reference	1	reference	1	TRUE	5045	-5045	0	5045	inventory_movements	5045	0	ju45	2028-05-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
846	2026-08-14	IN	صيدلية الشعب الاولى		App\Models\Document	1	2026-08-14	pending			3	صيدلية الشعب الاولى	Beginning goods invoice		stock_adjustment	1000100	SEBA MED BABY SHAMPOO 150ML	storable	Cosmetics	Seba Med Germany	4103040114228	4103040114228	4	One Bottle	BOTTLE	4	One Bottle	BOTTLE	3	SHAAB	1	3	SHAAB MAIN	1	1	root	-3	-3	0	0	-3	-3	1	reference	1	reference	3	TRUE	7900	-23700	0	3950	inventory_movements	11850	0	355r	2028-03-01	1	Document #No1 - Branch صيدلية الشعب الاولى - Warehouse 	#ffffff	#c62828	row
